route_long_name,route_type,route_text_color,route_color,agency_id,route_id,route_url,route_desc,route_short_name
Baltimore - Ocean City,3,,,MTA OLTS,ES,http://www.greyhound.com,"Service operated by Greyhound Lines, Inc. For additional information, please call 1-800-231-2222",
WHITE MARSH - MONUMENT & RUTLAND,3,FFFFFF,FF0000,1,7781,,,120
PATAPSCO STATION-PARKWAY CENTER,3,FFFFFF,0000FF,1,7736,,,017
SHEPPARD PRATT/CROMWELL-DOWNTOWN,3,FFFFFF,0000FF,1,7723,,,003
SECURITY SQ. / MIDDLE RIVER.,3,990000,FFFF00,1,7548,,,040
ROSEDALE IND PK - SECURITY SQ. MALL,3,FFFFFF,0000FF,1,7549,,,044
CHARLOTTE HALL/WALDORF - DC,3,000000,A6CAF0,1,7615,,,735
PLAZA STATION - PORT COVINGTON,3,FFFFFF,0000FF,1,7540,,,027
CHERRY HILL STATION SHUTTLE,3,FFFFFF,0000FF,1,7541,,,029
STATE CENTER - CCBC DUNDALK,3,FFFFFF,0000FF,1,7542,,,031
ROGERS STATION - MORAVIA,3,FFFFFF,0000FF,1,7543,,,033
WHITEMARSH P&R - UMBC / BLIND IND.,3,FFFFFF,0000FF,1,7544,,,035
NORTHERN PKWY & YORK - RIVERVIEW,3,FFFFFF,0000FF,1,7545,,,036
NORTH BEND-COLD SPRING & GRANDVIEW,3,FFFFFF,0000FF,1,7546,,,038
CROMWELL BRIDGE - INNER HARBOR EXP,3,FFFFFF,FF0000,1,7547,,,03X
CAMDEN - WASHINGTON,2,FFFFFF,FF8000,1,7593,,,MARC
PENN - WASHINGTON,2,FFFFFF,FF8000,1,7592,,,MARC
COLUMBIA & SILVER SPRING - DC,3,000000,A6CAF0,1,7799,,,305
CAMDEN - WASHINGTON,2,FFFFFF,FF8000,1,7798,,,MARC
BRUNSWICK - WASHINGTON,2,FFFFFF,FF8000,1,7591,,,MARC
ANNAPOLIS - WASHINGTON DC,3,000000,A6CAF0,1,7791,,,220
FREDERICK - COLLEGE PARK,3,000000,A6CAF0,1,7790,,,204
KENT ISLAND - WASHINGTON DC,3,000000,A6CAF0,1,7793,,,240
SEVERNA PARK & DAVIDSONVILLE - DC,3,000000,A6CAF0,1,7590,,,260
SEVERNA PARK & DAVIDSONVILLE - DC,3,000000,A6CAF0,1,7795,,,260
SECURITY MALL - OVERLEA/PERRY HALL,3,FFFFFF,0000FF,1,7734,,,015
PENN - WASHINGTON,2,FFFFFF,FF8000,1,7797,,,MARC
BRUNSWICK - WASHINGTON,2,FFFFFF,FF8000,1,7796,,,MARC
PERRY HALL - PACA STREET EXPRESS,3,FFFFFF,FF0000,1,7783,,,15X
GLYNDON - OWINGS MILLS MALL,3,FFFFFF,0000FF,1,7559,,,056
FOX RIDGE - TOWSON,3,FFFFFF,0000FF,1,7558,,,055
ROLLING ROAD - DOWNTOWN EXPRESS,3,FFFFFF,FF0000,1,7780,,,10X
BELAIR EDISON SHUTTLE,3,FFFFFF,0000FF,1,7553,,,050
TOWSON - TRANSIT CTR,3,990000,FFFF00,1,7552,,,048
WALBROOK-OVERLEA QUICKBUS,3,990000,FFFF00,1,7551,,,047
CEDONIA-PARADISE QUICKBUS,3,990000,FFFF00,1,7550,,,046
RANDALLSTOWN - NORTH & PENN,3,FFFFFF,0000FF,1,7557,,,054
OLD COURT METRO-MONDAWMIN METRO,3,FFFFFF,0000FF,1,7556,,,053
MILFORD MILL RD-MONDAWMIN STAT,3,FFFFFF,0000FF,1,7555,,,052
ROGERS STATION-PATAPSCO STATION,3,FFFFFF,0000FF,1,7554,,,051
CANTON/FELLS POINT - WALBROOK,3,FFFFFF,0000FF,1,7732,,,013
Baltimore - Wilmington_DE,3,,,MTA OLTS,CS,http://www.greyhound.com,"Service operated by Greyhound Lines, Inc. For additional information, please call 1-800-231-2222",
NORTH AVE - CURTIS BAY / ENERGY PKY,3,FFFFFF,0000FF,1,7566,,,064
OLD COURT STA - PATAPSCO STA,3,FFFFFF,0000FF,1,7567,,,077
RP STATION - MT. WASH/GREENSPRING,3,FFFFFF,0000FF,1,7564,,,060
BELLEMORE - CHARLES AND PRATT,3,FFFFFF,0000FF,1,7565,,,061
OWINGS MILLS MALL - RP STATION,3,FFFFFF,0000FF,1,7562,,,059
CEDONIA - EUTAW & SARATOGA EXPRESS,3,FFFFFF,FF0000,1,7563,,,05X
SECURITY SQ. MALL/SSA - ROGERS STA.,3,FFFFFF,0000FF,1,7560,,,057
RP STATION - WHITE MARSH,3,FFFFFF,0000FF,1,7561,,,058
SINAI HOSPITAL - DOWNTOWN,3,FFFFFF,0000FF,1,7568,,,091
MONDAWMIN SHUTTLE,3,006600,C0C0C0,1,7569,,,097
GLYNDON - OWINGS MILLS MALL,3,FFFFFF,0000FF,1,7764,,,056
SECURITY SQ. MALL/SSA - ROGERS STA.,3,FFFFFF,0000FF,1,7765,,,057
RP STATION - WHITE MARSH,3,FFFFFF,0000FF,1,7766,,,058
OWINGS MILLS MALL - RP STATION,3,FFFFFF,0000FF,1,7767,,,059
MILFORD MILL RD-MONDAWMIN STAT,3,FFFFFF,0000FF,1,7760,,,052
SECURITY SQ. / MIDDLE RIVER.,3,990000,FFFF00,1,7753,,,040
RANDALLSTOWN - NORTH & PENN,3,FFFFFF,0000FF,1,7762,,,054
FOX RIDGE - TOWSON,3,FFFFFF,0000FF,1,7763,,,055
CROMWELL BRIDGE - INNER HARBOR EXP,3,FFFFFF,FF0000,1,7752,,,103
CEDONIA - EUTAW & SARATOGA EXPRESS,3,FFFFFF,FF0000,1,7768,,,05X
RP STATION - MT. WASH/GREENSPRING,3,FFFFFF,0000FF,1,7769,,,060
PR FREDERICK/DUNKIRK - SUITLAND/DC,3,000000,A6CAF0,1,7830,,,850
SUNDERLAND / DUNKIRK - DC,3,000000,A6CAF0,1,7831,,,830
ST LEONARD / PRINCE FREDERICK - DC,3,000000,A6CAF0,1,7832,,,840
OLD COURT - BWI AIRPORT,3,FFFFFF,0000FF,1,7571,,,099
HAMPDEN SHUTTLE,3,CC0000,C0C0C0,1,7570,,,098
METRO,1,FFFFFF,008000,1,7572,,,METRO
ROLLING ROAD - DOWNTOWN EXPRESS,3,FFFFFF,FF0000,1,7575,,,10X
CROMWELL BRIDGE - JOHNS HOPKINS,3,FFFFFF,FF0000,1,7574,,,104
COLUMBIA-SARATOGA EXT.,3,FFFFFF,FF0000,1,7577,,,150
WHITE MARSH - MONUMENT & RUTLAND,3,FFFFFF,FF0000,1,7576,,,120
WHISPERING WOOD/ESSEX- HOPKINS HOSP,3,FFFFFF,FF0000,1,7579,,,160
PERRY HALL - PACA STREET EXPRESS,3,FFFFFF,FF0000,1,7578,,,15X
METRO,1,FFFFFF,008000,1,7777,,,METRO
OLD COURT - BWI AIRPORT,3,FFFFFF,0000FF,1,7776,,,099
HAMPDEN SHUTTLE,3,CC0000,C0C0C0,1,7775,,,098
MONDAWMIN SHUTTLE,3,006600,C0C0C0,1,7774,,,097
SINAI HOSPITAL - DOWNTOWN,3,FFFFFF,0000FF,1,7773,,,091
OLD COURT STA - PATAPSCO STA,3,FFFFFF,0000FF,1,7772,,,077
NORTH AVE - CURTIS BAY / ENERGY PKY,3,FFFFFF,0000FF,1,7771,,,064
BELLEMORE - CHARLES AND PRATT,3,FFFFFF,0000FF,1,7770,,,061
CROMWELL BRIDGE - JOHNS HOPKINS,3,FFFFFF,FF0000,1,7779,,,104
NORTH BEACH/PG EQUESTRIAN CTR - DC,3,000000,A6CAF0,1,7829,,,820
PINDELL - WASHINGTON DC,3,000000,A6CAF0,1,7828,,,810
PR FREDERICK/DUNKIRK - SUITLAND/DC,3,000000,A6CAF0,1,7823,,,850
CHARLOTTE HALL/WALDORF - DC,3,000000,A6CAF0,1,7820,,,735
ST LEONARD / PRINCE FREDERICK - DC,3,000000,A6CAF0,1,7827,,,840
SUNDERLAND / DUNKIRK - DC,3,000000,A6CAF0,1,7826,,,830
NORTH BEACH/PG EQUESTRIAN CTR - DC,3,000000,A6CAF0,1,7825,,,820
PINDELL - WASHINGTON DC,3,000000,A6CAF0,1,7824,,,810
KENT ISLAND - WASHINGTON DC,3,000000,A6CAF0,1,7588,,,240
KENT ISLAND & DAVIDSONVILLE - DC,3,000000,A6CAF0,1,7589,,,250
COLUMBIA - BETHESDA,3,000000,A6CAF0,1,7584,,,203
FREDERICK - COLLEGE PARK,3,000000,A6CAF0,1,7585,,,204
ANNAPOLIS - WASHINGTON DC,3,000000,A6CAF0,1,7586,,,220
SEVERNA PARK & ANNAPOLIS - DC,3,000000,A6CAF0,1,7587,,,230
STATE CTR. - CARNEY/GOUCHER BLV EXP,3,FFFFFF,FF0000,1,7580,,,19X
LIGHT RAIL,0,000000,00FFFF,1,7581,,,LIGHT RAIL
GAITHERSBURG - BWI BUS DIST,3,000000,A6CAF0,1,7582,,,201
GAITHERSBURG - FORT MEADE,3,000000,A6CAF0,1,7583,,,202
RT40 & ROLLING - FOX RIDGE,3,FFFFFF,0000FF,1,7742,,,023
WHISPERING WOODS - MORAVIA,3,FFFFFF,0000FF,1,7743,,,024
FELLS POINT - MONDAWMIN,3,FFFFFF,0000FF,1,7740,,,021
BAYVIEW - MONDAWMIN,3,FFFFFF,0000FF,1,7741,,,022
CHERRY HILL STATION SHUTTLE,3,FFFFFF,0000FF,1,7746,,,029
STATE CENTER - CCBC DUNDALK,3,FFFFFF,0000FF,1,7747,,,031
DOWNTOWN - DUNDALK MARINE TERMINAL,3,FFFFFF,0000FF,1,7744,,,026
PLAZA STATION - PORT COVINGTON,3,FFFFFF,0000FF,1,7745,,,027
ROGERS STATION - MORAVIA,3,FFFFFF,0000FF,1,7748,,,033
WHITEMARSH P&R - UMBC / BLIND IND.,3,FFFFFF,0000FF,1,7749,,,035
